Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
North America,320.27638,324.44694,328.62014,332.72487,336.72143,340.74811,344.89548,349.07829,353.2939,357.68457,362.4468,367.70684,373.29069,378.74233,383.9166,388.97216,393.9428,398.97205,403.85585,408.60296,413.3245,417.83236,422.05268,426.06238,430.26938,434.47232,438.82964,443.3473,447.67394,451.83698,456.59331
Bermuda,0.05473,0.05491,0.05517,0.05551,0.05585,0.05618,0.05651,0.05683,0.05717,0.05749,0.05778,0.0581,0.0587,0.05924,0.05975,0.06029,0.06087,0.06145,0.06198,0.06251,0.06306,0.06361,0.06418,0.06476,0.06534,0.06591,0.06644,0.06692,0.06739,0.06784,0.06827
Canada,24.5933,24.9,25.2019,25.4563,25.7018,25.9416,26.2038,26.5497,26.8948,27.3793,27.7906,28.1179,28.54489,28.95334,29.33081,29.69053,30.02632,30.3056,30.55166,30.82026,31.09956,31.37674,31.64096,31.88931,32.13476,32.38638,32.65668,32.93596,33.2127,33.48721,33.75974
Greenland,0.05021,0.05103,0.05166,0.05211,0.05263,0.05315,0.05364,0.0541,0.05485,0.05541,0.05563,0.05554,0.05549,0.05564,0.05592,0.05619,0.05634,0.05651,0.05661,0.0567,0.05689,0.05713,0.05736,0.05754,0.0577,0.05778,0.05764,0.05753,0.05756,0.0576,0.05764
Mexico,68.34748,69.96926,71.6409,73.36288,75.08014,76.76723,78.44243,80.12249,81.78182,83.36684,84.91365,86.48803,88.11103,89.74914,91.3379,92.88035,94.39858,95.89515,97.32506,98.61691,99.92662,101.24696,102.47993,103.71806,104.95959,106.2029,107.44953,108.70089,109.9554,111.21179,112.46886
Saint Pierre and Miquelon,0.00599,0.00601,0.00605,0.00607,0.00611,0.00616,0.00621,0.00625,0.00628,0.00631,0.00632,0.00633,0.00636,0.00638,0.0064,0.0064,0.00641,0.00642,0.00642,0.00643,0.00641,0.00637,0.00633,0.00629,0.00625,0.0062,0.00615,0.0061,0.00605,0.006,0.00594
United States,227.22468,229.46571,231.66446,233.79199,235.8249,237.9238,240.13289,242.28892,244.49898,246.81923,249.62281,252.98094,256.51422,259.91859,263.12582,266.27839,269.39428,272.64693,275.8541,279.04017,282.17196,285.08156,287.80391,290.32642,293.04574,295.75315,298.59321,301.5799,304.37485,307.00655,310.23286
Central & South America,293.05856,299.43033,305.95253,312.51136,318.87955,325.22704,331.82291,338.59859,345.44544,352.20471,358.79973,365.15137,371.43224,377.7438,384.26984,390.75665,397.13002,403.41352,409.62879,415.63607,421.4539,427.24012,433.05116,438.97976,445.01525,451.05504,457.01699,462.89157,468.73872,474.53897,480.01228
Antigua and Barbuda,0.06855,0.06826,0.06801,0.06562,0.06447,0.0644,0.0644,0.06442,0.06443,0.06439,0.06416,0.06403,0.06518,0.06633,0.06749,0.06871,0.07006,0.07145,0.07278,0.07402,0.07535,0.07673,0.07794,0.07907,0.08019,0.08128,0.08234,0.08343,0.08452,0.08563,0.08675
Argentina,28.3698,28.84806,29.32988,29.79355,30.23064,30.67176,31.14499,31.62462,32.09932,32.57162,33.03558,33.50441,33.96685,34.40715,34.84689,35.27384,35.68296,36.10216,36.51792,36.92342,37.33565,37.69417,37.99945,38.33688,38.74183,39.18126,39.61443,40.04882,40.482,40.91358,41.3432
"Bahamas, The",0.20976,0.21345,0.21713,0.22086,0.22462,0.2282,0.23143,0.23448,0.23771,0.24124,0.24513,0.24931,0.25356,0.25766,0.26151,0.26518,0.26888,0.27256,0.27599,0.27931,0.28259,0.28569,0.28858,0.29135,0.29406,0.29671,0.29929,0.30197,0.30473,0.30755,0.31043
Barbados,0.25197,0.25236,0.25348,0.25485,0.25611,0.25725,0.25827,0.25912,0.25995,0.26109,0.26226,0.26334,0.2646,0.2657,0.26663,0.26767,0.26881,0.27006,0.27129,0.2725,0.27368,0.27491,0.27622,0.27755,0.27882,0.28004,0.28121,0.28236,0.2835,0.28459,0.28565
Belize,0.14442,0.14921,0.1533,0.15685,0.16081,0.16556,0.17124,0.17635,0.1814,0.18643,0.19087,0.19575,0.20082,0.20609,0.21155,0.21717,0.22297,0.22895,0.23513,0.24148,0.248,0.25464,0.2613,0.26796,0.27462,0.28129,0.28795,0.29461,0.30127,0.3079,0.31452
Bolivia,5.4413,5.54522,5.64222,5.73743,5.83429,5.93494,6.04135,6.15637,6.28316,6.42314,6.5739,6.73148,6.89345,7.05434,7.21481,7.37487,7.5344,7.69515,7.8589,8.02556,8.1951,8.36745,8.54249,8.71906,8.89597,9.07294,9.24971,9.42594,9.60126,9.77525,9.94742
Brazil,123.01963,125.99213,129.02765,131.96012,134.69947,137.38198,140.19628,143.02654,145.87275,148.65864,151.17006,153.58396,156.03206,158.51205,161.01706,163.54428,166.08586,168.63874,171.20116,173.76387,176.31962,178.86966,181.41759,183.95992,186.4886,188.99308,191.46901,193.91858,196.34259,198.73927,201.10333
Cayman Islands,0.01708,0.0179,0.01852,0.01909,0.02002,0.02085,0.02144,0.02207,0.0245,0.02507,0.02636,0.02751,0.02868,0.03001,0.0313,0.03249,0.03368,0.03487,0.03606,0.03725,0.03844,0.03962,0.0408,0.04199,0.04316,0.04434,0.04552,0.04669,0.04786,0.04904,0.05021
Chile,11.09372,11.2823,11.48711,11.68662,11.87977,12.0678,12.261,12.46452,12.67869,12.90232,13.12892,13.35367,13.57416,13.78943,14.00122,14.20661,14.40541,14.60109,14.79216,14.97655,15.15574,15.33189,15.50394,15.67191,15.83563,15.99504,16.15084,16.30385,16.45414,16.60171,16.74649
Colombia,26.63129,27.21489,27.82604,28.45499,29.09546,29.74762,30.41039,31.0853,31.77087,32.46085,33.14725,33.83221,34.52032,35.2056,35.88762,36.53183,37.09791,37.61994,38.13259,38.56386,38.91035,39.31245,39.80495,40.35102,40.92215,41.48778,42.04625,42.59732,43.14111,43.67737,44.20529
Costa Rica,2.29912,2.35729,2.42437,2.49435,2.5676,2.64431,2.72338,2.79934,2.87412,2.94989,3.02327,3.09302,3.16836,3.25653,3.3512,3.44474,3.536,3.62532,3.71374,3.80017,3.88258,3.95621,4.02095,4.08382,4.1467,4.20869,4.26977,4.33113,4.39324,4.45505,4.51622
Cuba,9.65298,9.71198,9.78922,9.88126,9.97373,10.06563,10.14438,10.21682,10.30552,10.4079,10.51344,10.61114,10.69191,10.75667,10.81326,10.86545,10.9117,10.95186,10.99853,11.05298,11.10586,11.15582,11.20269,11.24668,11.28785,11.32615,11.36155,11.39404,11.42395,11.45165,11.47746
Dominica,0.07389,0.07352,0.07381,0.07429,0.07399,0.07311,0.07238,0.07182,0.07134,0.07051,0.07001,0.07012,0.07028,0.07042,0.07092,0.07142,0.071,0.07028,0.07004,0.07035,0.07082,0.07121,0.07153,0.07173,0.07193,0.07212,0.07225,0.07238,0.07251,0.07266,0.07281
Dominican Republic,5.69686,5.83171,5.96874,6.10582,6.24155,6.37855,6.51682,6.65696,6.79877,6.94187,7.08362,7.2248,7.36293,7.49428,7.62413,7.75897,7.89898,8.03994,8.18221,8.3252,8.46891,8.61355,8.7569,8.89658,9.03239,9.16447,9.29504,9.42623,9.55818,9.69079,9.82382
Ecuador,7.9205,8.14108,8.36585,8.59349,8.82583,9.06166,9.30108,9.54516,9.79412,10.04822,10.31804,10.42992,10.55381,10.75368,11.01255,11.26561,11.52648,11.79247,12.05063,12.26831,12.44584,12.62912,12.82728,13.07418,13.3684,13.66232,13.91706,14.13496,14.35447,14.5731,14.79061
El Salvador,4.57041,4.51972,4.47992,4.52671,4.59375,4.67105,4.75832,4.85014,4.93899,5.02478,5.10982,5.19624,5.28601,5.33415,5.3952,5.47983,5.56411,5.63681,5.71157,5.78837,5.84982,5.8837,5.90183,5.91985,5.93512,5.95622,5.97089,5.98175,6.00645,6.0306,6.05206
Falkland Islands (Islas Malvinas),0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00243,0.0026,0.0028,0.00285,0.0029,0.00293,0.00297,0.00297,0.00297,0.00297,0.00297,0.00314,0.00314,0.00314
French Guiana,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.11,0.12,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.17,0.17,0.17756,0.18224,0.18692,0.19131,0.19131,0.19131,0.19131,0.19131,0.19131,0.19131
Grenada,0.09016,0.09235,0.09241,0.09253,0.09274,0.09306,0.09355,0.09406,0.09429,0.0943,0.0942,0.09406,0.09465,0.09576,0.09675,0.09774,0.09865,0.09957,0.10039,0.10099,0.10161,0.10229,0.10284,0.10332,0.10397,0.10459,0.1052,0.10589,0.10656,0.1072,0.10782
Guadeloupe,0.337,0.339,0.341,0.345,0.35,0.354,0.358,0.363,0.367,0.38,0.39,0.4,0.41,0.41,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43117,0.43568,0.44019,0.44452,0.44452,0.44452,0.44452,0.44452,0.44452,0.44452
Guatemala,6.64959,6.82868,6.98272,7.18865,7.38034,7.58084,7.82,8.15988,8.49582,8.73058,8.96555,9.21325,9.36708,9.52288,9.77911,10.02782,10.26795,10.49612,10.70814,10.90342,11.08503,11.28435,11.50667,11.72521,11.93999,12.18255,12.45475,12.72811,13.00221,13.27652,13.55044
Guyana,0.75935,0.76193,0.76286,0.76216,0.76207,0.76225,0.76338,0.76496,0.76655,0.7686,0.77153,0.77053,0.7673,0.7669,0.76765,0.76916,0.76889,0.76841,0.7726,0.78005,0.78556,0.78626,0.78273,0.77981,0.77948,0.7765,0.77021,0.76381,0.75806,0.75294,0.74849
Haiti,5.5077,5.62287,5.74042,5.86229,5.98898,6.11992,6.25386,6.38967,6.51878,6.65269,6.79794,6.92983,7.06997,7.23284,7.39969,7.5704,7.74067,7.90968,8.08056,8.24971,8.41289,8.56858,8.72319,8.88367,9.04569,9.20467,9.35756,9.50049,9.63908,9.77797,9.64892
Honduras,3.40247,3.54306,3.67004,3.79614,3.93299,4.07731,4.22692,4.37326,4.51498,4.65602,4.79403,4.93323,5.07988,5.23262,5.38981,5.55079,5.71284,5.87503,6.0391,6.19088,6.3594,6.52698,6.69369,6.86205,7.02944,7.19307,7.35516,7.51621,7.67585,7.8337,7.98942
Jamaica,2.2288,2.25837,2.29831,2.30639,2.31306,2.31818,2.32255,2.32587,2.32943,2.33666,2.34701,2.35772,2.37785,2.40685,2.43644,2.46907,2.50125,2.53118,2.56043,2.58887,2.61563,2.64051,2.66498,2.68915,2.713,2.73651,2.75961,2.78222,2.80433,2.82593,2.84723
Martinique,0.339,0.341,0.343,0.346,0.35,0.353,0.357,0.361,0.365,0.369,0.374,0.378,0.382,0.386,0.39,0.394,0.399,0.403,0.407,0.414,0.416,0.41845,0.42223,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426
Montserrat,0.01177,0.01179,0.01166,0.01156,0.01144,0.01132,0.01121,0.01109,0.01097,0.01085,0.01073,0.01061,0.0105,0.01041,0.01034,0.01027,0.00795,0.00595,0.00338,0.00338,0.00395,0.00424,0.00481,0.00449,0.00496,0.00453,0.00463,0.00451,0.00508,0.0051,0.00512
Netherlands Antilles,0.23244,0.23449,0.23757,0.24092,0.24385,0.24443,0.18433,0.18567,0.18669,0.18763,0.18879,0.19014,0.192,0.1945,0.19679,0.19891,0.20124,0.20354,0.20581,0.20802,0.21018,0.21229,0.21434,0.21632,0.21824,0.2201,0.22189,0.22365,0.22537,0.22705,0.22869
Nicaragua,2.80565,2.90173,2.97991,3.04918,3.12177,3.19084,3.26371,3.34537,3.43506,3.53193,3.68513,3.87306,4.01959,4.14231,4.26426,4.38462,4.50076,4.61188,4.71974,4.82722,4.93515,5.04262,5.14998,5.25701,5.36349,5.46918,5.57459,5.68021,5.78585,5.8912,5.99593
Panama,1.95957,1.9989,2.0395,2.08079,2.12346,2.16762,2.21216,2.25674,2.30168,2.3472,2.39344,2.44075,2.48923,2.53836,2.58771,2.63817,2.68979,2.74368,2.79723,2.84779,2.89951,2.95229,3.00342,3.05361,3.10418,3.15503,3.20648,3.25833,3.30968,3.36047,3.41068
Paraguay,3.1716,3.25084,3.33837,3.43192,3.53055,3.63346,3.7399,3.84989,3.96344,4.08056,4.20049,4.32234,4.44589,4.57099,4.69758,4.82556,4.95484,5.08116,5.20018,5.31154,5.41824,5.5234,5.62689,5.72855,5.82816,5.92554,6.02047,6.113,6.2032,6.29088,6.37583
Peru,17.2953,17.7548,18.17252,18.59145,19.01088,19.43193,19.85549,20.28036,20.71066,21.1507,21.59975,22.05702,22.52165,22.99269,23.46919,23.94219,24.40212,24.84715,25.27571,25.68629,26.0867,26.48533,26.88171,27.2752,27.66518,28.05111,28.43259,28.8093,29.1809,29.54696,29.907
